epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1599,2.48739,2.09487,1.45662,0.63426,0.37132,0.34626,0.14072,2.25162,5.10198,1.30926,0.000469718,0.000469718,0.000469718
2,125.756,2.33425,1.57928,1.27837,0.49325,0.39126,0.39709,0.1855,2.15765,2.01177,1.27979,0.000922636,0.000922636,0.000922636
3,178.256,2.28269,1.51411,1.25895,0.64576,0.36086,0.32182,0.13579,2.36404,15.1776,1.33734,0.00135198,0.00135198,0.00135198
4,229.311,2.2349,1.53202,1.24161,0.37053,0.38916,0.34165,0.17548,2.21203,4.60862,1.30669,0.0013229,0.0013229,0.0013229
5,282.142,2.23688,1.46957,1.23594,0.50297,0.51544,0.48364,0.24012,2.01918,1.63256,1.21424,0.00128753,0.00128753,0.00128753
6,335.286,2.19142,1.39466,1.21398,0.54507,0.48085,0.46663,0.23493,2.3376,2.19676,1.29451,0.00125216,0.00125216,0.00125216
7,387.178,2.15791,1.40121,1.20805,0.57165,0.53491,0.49548,0.25406,2.08342,1.46035,1.20961,0.00121679,0.00121679,0.00121679
8,437.989,2.14927,1.36509,1.19655,0.63517,0.55002,0.53597,0.2927,1.95161,1.49,1.15177,0.00118143,0.00118143,0.00118143
9,489.183,2.09295,1.35629,1.19294,0.63273,0.59659,0.57927,0.30637,1.93706,1.59143,1.15361,0.00114606,0.00114606,0.00114606
10,539.683,2.07235,1.30358,1.17233,0.65501,0.58074,0.61251,0.32735,2.00597,1.3998,1.20582,0.00111069,0.00111069,0.00111069
11,591.097,2.05977,1.31095,1.16688,0.68113,0.63696,0.62942,0.3562,1.96537,1.30394,1.16883,0.00107532,0.00107532,0.00107532
12,643.112,2.0627,1.29461,1.16388,0.69423,0.57179,0.59358,0.34107,1.91152,1.35126,1.13555,0.00103995,0.00103995,0.00103995
13,695.05,2.02491,1.26411,1.14934,0.76,0.60419,0.65376,0.3876,1.86117,1.2618,1.11823,0.00100459,0.00100459,0.00100459
14,747.885,1.99101,1.23943,1.13253,0.65262,0.6439,0.61248,0.34819,2.03568,1.41852,1.15784,0.000969219,0.000969219,0.000969219
15,797.85,1.97701,1.22413,1.13439,0.77806,0.6064,0.65754,0.40182,1.8443,1.21691,1.10642,0.000933851,0.000933851,0.000933851
16,847.062,1.94058,1.20163,1.12804,0.75479,0.6311,0.65668,0.39874,1.81335,1.13738,1.08888,0.000898484,0.000898484,0.000898484
17,898.826,1.93455,1.18074,1.11463,0.67736,0.68297,0.67038,0.40832,1.73632,1.12133,1.07429,0.000863116,0.000863116,0.000863116
18,947.718,1.8935,1.17142,1.10904,0.74393,0.65643,0.68967,0.41646,1.61889,1.16272,1.0607,0.000827748,0.000827748,0.000827748
19,998.041,1.89505,1.14399,1.09914,0.76853,0.61897,0.67032,0.41012,1.68175,1.07028,1.04959,0.00079238,0.00079238,0.00079238
20,1050.17,1.87585,1.1326,1.0979,0.78399,0.68386,0.72477,0.43973,1.64209,1.0926,1.06055,0.000757013,0.000757013,0.000757013
21,1101.96,1.88587,1.10865,1.08944,0.70277,0.74796,0.71711,0.46086,1.68933,1.05793,1.05698,0.000721645,0.000721645,0.000721645
22,1151.73,1.81487,1.08689,1.07856,0.76565,0.73646,0.75965,0.494,1.67291,1.06625,1.05055,0.000686277,0.000686277,0.000686277
23,1203.34,1.82479,1.07938,1.07032,0.77871,0.67555,0.72714,0.4781,1.67765,1.02602,1.04634,0.000650909,0.000650909,0.000650909
24,1252.79,1.81006,1.07318,1.07294,0.75654,0.69728,0.74012,0.47134,1.65101,1.10293,1.04508,0.000615542,0.000615542,0.000615542
